index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
904,YaLLa Compass Fall 2023 Contenders,2023-10-31,ecstatic,entropiq,18,-1,W,63.833333333333336,23.4
905,Thunderpick World Championship 2023,2023-10-31,nouns,furia,-1,15,L,63.0,24.2
906,Game Arena Cup Season 1,2023-10-31,pain,meta,14,-1,W,69.66666666666667,22.0
907,Copa BetBoom 2023,2023-10-31,pain,legacy,14,24,W,69.66666666666667,22.0
908,Game Arena Cup Season 1,2023-10-30,imperial,intense,19,-1,W,70.66666666666667,24.0
909,ESL Challenger League Season 46 Europe,2023-10-30,monte,space,22,-1,W,43.5,21.3
910,Thunderpick World Championship 2023,2023-10-30,spirit,mouz,3,6,W,74.16666666666667,21.3
911,Game Arena Cup Season 1,2023-10-30,legacy,mibr academy,24,-1,W,52.285714285714285,23.7
912,Thunderpick World Championship 2023,2023-10-30,furia,big,15,-1,L,60.166666666666664,27.1
913,ESL Challenger League Season 46 Europe,2023-10-30,falcons,b8,10,-1,L,44.166666666666664,28.4
914,Roobet Cup 2023,2023-10-30,monte,movistar riders,22,-1,W,43.5,21.3
915,YaLLa Compass Fall 2023 Contenders,2023-10-30,jano,metizport,-1,29,L,25.833333333333332,0
916,Thunderpick World Championship 2023,2023-10-30,complexity,m80,13,-1,W,41.0,24.6
917,Roobet Cup 2023,2023-10-30,big,aurora,-1,28,L,43.0,24.7
918,Thunderpick World Championship 2023,2023-10-30,heroic,nouns,11,-1,W,58.166666666666664,24.2
919,Copa BetBoom 2023,2023-10-30,pain,bestia,14,-1,L,69.66666666666667,22.0
920,Copa BetBoom 2023,2023-10-29,imperial,flamengo,19,-1,W,70.66666666666667,24.0
921,CBCS 2023 Season 3,2023-10-29,pain,legacy,14,24,W,69.66666666666667,22.0
922,Thunderpick World Championship 2023,2023-10-29,saw,monte,17,22,L,70.0,26.1
923,CBCS 2023 Season 3,2023-10-29,imperial,bestia,19,-1,L,70.66666666666667,24.0
924,Roobet Cup 2023,2023-10-29,9ine,apeks,-1,20,L,70.66666666666667,24.0
925,Roobet Cup 2023,2023-10-29,heroic,aurora,11,28,L,58.166666666666664,24.2
926,Thunderpick World Championship 2023,2023-10-29,mouz,m80,6,-1,W,57.5,20.5
927,Roobet Cup 2023,2023-10-29,movistar riders,9z,-1,-1,W,57.833333333333336,25.7
928,ESL Challenger League Season 46 Europe,2023-10-29,apeks,sprout,20,-1,W,39.166666666666664,25.7
929,ESL Challenger Jönköping 2023 Asia Closed Qualifier,2023-10-29,tyloo,themongolz,-1,16,W,50.0,0
930,Thunderpick World Championship 2023,2023-10-29,spirit,complexity,3,13,W,74.16666666666667,21.3
931,Thunderpick World Championship 2023,2023-10-29,fnatic,virtus.pro,-1,9,L,51.714285714285715,24.6
932,ESL Challenger Jönköping 2023 Asia Closed Qualifier,2023-10-29,rare atom,themongolz,-1,16,L,51.714285714285715,24.6
933,CBCS 2023 Season 3,2023-10-28,imperial,filhos de d10s,19,-1,W,70.66666666666667,24.0
934,Roobet Cup 2023,2023-10-28,astralis,apeks,25,20,L,60.333333333333336,22.6
935,Thunderpick World Championship 2023,2023-10-28,monte,faze,22,1,L,43.5,21.3
936,Thunderpick World Championship 2023,2023-10-28,wildcard,saw,-1,17,L,54.142857142857146,23.4
937,Roobet Cup 2023,2023-10-28,9ine,big,-1,-1,L,54.142857142857146,23.4
938,Roobet Cup 2023,2023-10-28,monte,ninjas in pyjamas,22,-1,W,43.5,21.3
939,ESL Challenger Jönköping 2023 Asia Closed Qualifier,2023-10-28,tyloo,themongolz,-1,16,W,50.0,0
940,Thunderpick World Championship 2023,2023-10-28,cloud9,virtus.pro,7,9,W,54.333333333333336,25.4
941,ESL Challenger Jönköping 2023 Asia Closed Qualifier,2023-10-28,themongolz,rare atom,16,-1,W,71.33333333333333,19.6
