index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
2529,Elisa Invitational Winter 2023 Contenders,2023-01-18,pge turow,falcons,-1,10,L,37.2,0
2530,ESL Pro League Season 17 Conference Europe,2023-01-17,endpoint,saw,-1,17,L,44.142857142857146,0
2531,ESL Challenger League Season 44 Europe,2023-01-17,monte,apeks,22,20,W,43.5,21.3
2532,ESL Pro League Season 17 Conference Europe,2023-01-17,partizan,eternal fire,-1,8,L,43.5,21.3
2533,ESL Pro League Season 17 Conference Europe,2023-01-17,sprout,falcons,-1,10,W,43.5,21.3
2534,Elisa Invitational Winter 2023 Contenders,2023-01-17,eyeballers,ecstatic,-1,18,W,41.0,25.4
2535,CCT South Europe Series 2,2023-01-17,apeks,honoris,20,-1,W,39.166666666666664,25.7
2536,Elisa Invitational Winter 2023 Contenders,2023-01-17,falcons,partizan,10,-1,L,44.166666666666664,28.4
2537,ESL Pro League Season 17 Conference Europe,2023-01-16,saw,babos,17,-1,W,70.0,26.1
2538,ESL Pro League Season 17 Conference Europe,2023-01-16,sinners,falcons,-1,10,L,53.5,25.6
2539,ESL Pro League Season 17 Conference Europe,2023-01-16,genk,eternal fire,-1,8,L,53.5,25.6
2540,Elisa Invitational Winter 2023 Contenders,2023-01-16,monte,enhanced,22,-1,W,43.5,21.3
2541,European Pro League Season 5,2023-01-16,ecstatic,777,18,-1,L,63.833333333333336,23.4
2542,CCT South Europe Series 2,2023-01-15,apeks,blink,20,-1,W,39.166666666666664,25.7
2543,ESEA Winter 2023 Cash Cup 1 Europe,2023-01-15,9 pandas,invsn,23,-1,L,51.857142857142854,26.0
2544,European Pro League Season 5,2023-01-13,monte,viperio,22,-1,W,43.5,21.3
2545,European Pro League Season 5,2023-01-12,ungentium,ecstatic,-1,18,L,43.5,21.3
2546,European Pro League Season 5,2023-01-09,monte,ination,22,-1,W,43.5,21.3
2547,ESL Challenger League Season 43 Europe,2022-12-19,saw,spirit,17,3,W,70.0,26.1
2548,ESL Challenger League Season 43 North America,2022-12-19,eg black,mibr,-1,27,L,70.0,26.1
2549,ESEA Autumn 2022 Cash Cup 7 North America,2022-12-19,pain,atk,14,-1,L,69.66666666666667,22.0
2550,ESEA Autumn 2022 Cash Cup 7 North America,2022-12-19,pain,nouns,14,-1,W,69.66666666666667,22.0
2551,CCT Central Europe Series 4,2022-12-18,copenhagen flames,astralis,-1,25,W,69.66666666666667,22.0
2552,ESL Challenger League Season 43 Europe,2022-12-18,spirit,sprout,3,-1,W,74.16666666666667,21.3
2553,Esport Tour 2022 Series 4,2022-12-18,pact,monte,-1,22,L,74.16666666666667,21.3
2554,CCT Central Europe Series 4,2022-12-18,apeks,astralis,20,25,L,39.166666666666664,25.7
2555,Winline Insight Season 2,2022-12-18,9 pandas,vp.prodigy,23,-1,L,51.857142857142854,26.0
2556,BLAST Premier World Final 2022,2022-12-18,liquid,g2,-1,5,L,66.16666666666667,25.2
2557,ESL Challenger League Season 43 North America,2022-12-18,mibr,teamone,27,-1,W,64.66666666666667,23.5
2558,ESL Challenger League Season 43 North America Relegation,2022-12-18,villainous,pain,-1,14,L,64.66666666666667,23.5
2559,CCT Central Europe Series 4,2022-12-18,astralis,1win,25,-1,W,60.333333333333336,22.6
2560,Esport Tour 2022 Series 4,2022-12-17,monte,permitta,22,-1,L,43.5,21.3
2561,ESL Challenger League Season 43 Europe Relegation,2022-12-17,sinners,falcons,-1,10,L,53.5,25.6
2562,BLAST Premier World Final 2022,2022-12-17,faze,g2,1,5,L,55.714285714285715,26.6
2563,CCT Central Europe Series 4,2022-12-17,havu,big,-1,-1,W,25.714285714285715,24.7
2564,CCT Central Europe Series 4,2022-12-17,apeks,gamerlegion,20,21,W,39.166666666666664,25.7
2565,Winline Insight Season 2,2022-12-17,forward,9 pandas,-1,23,L,39.166666666666664,25.7
2566,ESL Challenger League Season 43 North America Relegation,2022-12-17,snakes den,pain,-1,14,L,39.166666666666664,25.7
2567,ESL Challenger League Season 43 Europe Relegation,2022-12-16,falcons,los kogutos,10,-1,W,44.166666666666664,28.4
2568,CCT Central Europe Series 4,2022-12-16,big,young ninjas,-1,-1,W,43.0,24.7
2569,ESL Challenger League Season 43 Europe Relegation,2022-12-16,eyeballers,eternal fire,-1,8,W,41.0,25.4
2570,BLAST Premier World Final 2022,2022-12-16,g2,vitality,5,4,W,52.0,26.0
2571,ESL Challenger League Season 43 Europe Relegation,2022-12-16,eternal fire,ex-into the breach,8,-1,L,59.0,26.5
2572,CCT Central Europe Series 4,2022-12-16,gamerlegion,masonic,21,-1,W,33.57142857142857,22.9
2573,Winline Insight Season 2,2022-12-16,9 pandas,lf0,23,-1,W,51.857142857142854,26.0
2574,BLAST Premier World Final 2022,2022-12-16,liquid,natus vincere,-1,2,W,66.16666666666667,25.2
2575,CCT Central Europe Series 4,2022-12-16,9ine,apeks,-1,20,L,66.16666666666667,25.2
2576,ESL Challenger League Season 43 North America,2022-12-16,mibr,eg black,27,-1,L,64.66666666666667,23.5
2577,CCT Central Europe Series 4,2022-12-15,astralis,ecstatic,25,18,W,60.333333333333336,22.6
2578,ESEA Advanced Season 43 Europe,2022-12-15,monte,apeks,22,20,L,43.5,21.3
2579,BLAST Premier World Final 2022,2022-12-15,og,vitality,-1,4,W,52.333333333333336,22.0
2580,Winline Insight Season 2,2022-12-15,vp.prodigy,9 pandas,-1,23,W,48.5,20.5
2581,BLAST Premier World Final 2022,2022-12-15,heroic,natus vincere,11,2,L,58.166666666666664,24.2
2582,CCT Central Europe Series 4,2022-12-15,movistar riders,eclot,-1,-1,L,57.833333333333336,25.7
2583,BLAST Premier World Final 2022,2022-12-15,liquid,faze,-1,1,L,66.16666666666667,25.2
2584,BLAST Premier World Final 2022,2022-12-15,outsiders,g2,-1,5,L,66.16666666666667,25.2
2585,ESL Challenger League Season 43 North America,2022-12-15,mibr,teamone,27,-1,W,64.66666666666667,23.5
2586,BLAST Premier World Final 2022,2022-12-14,natus vincere,vitality,2,4,L,67.66666666666667,23.4
2587,ESL Challenger League Season 43 Europe,2022-12-14,spirit,saw,3,17,L,74.16666666666667,21.3
2588,ESEA Advanced Season 43 Europe,2022-12-14,ikla,apeks,-1,20,L,74.16666666666667,21.3
2589,BLAST Premier World Final 2022,2022-12-14,heroic,og,11,-1,L,58.166666666666664,24.2
2590,BLAST Premier World Final 2022,2022-12-14,faze,g2,1,5,W,55.714285714285715,26.6
2591,ESL Challenger League Season 43 North America,2022-12-14,mibr,atk,27,-1,W,64.66666666666667,23.5
2592,ESEA Advanced Season 43 Europe,2022-12-13,monte,ikla,22,-1,W,43.5,21.3
2593,ESL Challenger League Season 43 Europe,2022-12-13,movistar riders,sangal,-1,-1,L,57.833333333333336,25.7
2594,ESL Challenger League Season 43 Europe,2022-12-13,saw,bluejays,17,-1,W,70.0,26.1
2595,ESL Challenger League Season 43 Europe,2022-12-13,ftw,spirit,-1,3,L,70.0,26.1
2596,ESEA Advanced Season 43 Europe,2022-12-13,eyeballers,apeks,-1,20,L,41.0,25.4
2597,Thunderpick Bitcoin Series 2,2022-12-13,ex-into the breach,monte,-1,22,W,41.0,25.4
2598,ESEA Advanced Season 43 Europe,2022-12-12,alternate attax,apeks,-1,20,L,38.5,23.6
2599,ESL Challenger League Season 43 Europe,2022-12-12,spirit,sprout,3,-1,W,74.16666666666667,21.3
2600,CCT North America Series 2,2022-12-12,pain,nouns,14,-1,W,69.66666666666667,22.0
2601,ESEA Autumn 2022 Cash Cup 6 North America,2022-12-12,mibr,iron blood,27,-1,W,64.66666666666667,23.5
2602,CCT North America Series 2,2022-12-12,complexity,nouns,13,-1,L,41.0,24.6
2603,ESEA Autumn 2022 Cash Cup 6 North America,2022-12-12,mibr,eg black,27,-1,L,64.66666666666667,23.5
2604,CCT North America Series 2,2022-12-11,pain,mibr,14,27,W,69.66666666666667,22.0
2605,CCT Central Europe Series 4,2022-12-11,ecstatic,k23,18,-1,W,63.833333333333336,23.4
2606,ESEA Advanced Season 43 Europe,2022-12-11,monte,alternate attax,22,-1,W,43.5,21.3
2607,ESEA Advanced Season 43 Europe,2022-12-11,500,apeks,-1,20,L,45.166666666666664,23.7
2608,CCT North America Series 2,2022-12-11,pain,eg white,14,-1,W,69.66666666666667,22.0
2609,CCT North America Series 2,2022-12-11,disconnected,mibr,-1,27,L,69.66666666666667,22.0
2610,CCT North America Series 2,2022-12-11,complexity,teamone,13,-1,W,41.0,24.6
2611,ESEA Autumn 2022 Cash Cup 6 North America,2022-12-11,pain,iron blood,14,-1,L,69.66666666666667,22.0
2612,ESEA Autumn 2022 Cash Cup 6 North America,2022-12-11,mibr,fl0m's money crew,27,-1,W,64.66666666666667,23.5
2613,ESEA Advanced Season 43 Europe,2022-12-10,apeks,ldlc,20,-1,W,39.166666666666664,25.7
2614,ESL Masters Spain Season 12 Finals,2022-12-10,case,saw,-1,17,L,50.5,22.5
2615,Thunderpick Bitcoin Series 2,2022-12-10,genone,monte,-1,22,L,50.5,22.5
2616,CCT Central Europe Series 4,2022-12-10,apeks,ex-finest,20,-1,W,39.166666666666664,25.7
2617,CCT North America Series 2,2022-12-10,pain,1 jin,14,-1,W,69.66666666666667,22.0
2618,Thunderpick Bitcoin Series 2,2022-12-09,eyeballers,falcons,-1,10,L,41.0,25.4
2619,CCT Central Europe Series 4,2022-12-09,avangar,ecstatic,-1,18,L,41.0,25.4
2620,Esport Tour 2022 Series 4,2022-12-09,los kogutos,monte,-1,22,L,41.0,25.4
2621,CCT North America Series 2,2022-12-09,complexity,eclipse,13,-1,W,41.0,24.6
2622,CCT North America Series 2,2022-12-09,mibr,red wolves,27,-1,W,64.66666666666667,23.5
2623,ESEA Advanced Season 43 Europe,2022-12-08,avangar,apeks,-1,20,W,64.66666666666667,23.5
2624,ESEA Advanced Season 43 Europe,2022-12-08,9 pandas,partizan,23,-1,L,51.857142857142854,26.0
2625,ESEA Advanced Season 43 Europe,2022-12-08,monte,eyeballers,22,-1,W,43.5,21.3
2626,CCT Central Europe Series 4,2022-12-08,apeks,ec brugge,20,-1,W,39.166666666666664,25.7
2627,ESEA Advanced Season 43 Europe,2022-12-07,9 pandas,500,23,-1,L,51.857142857142854,26.0
2628,ESEA Advanced Season 43 Europe,2022-12-07,into the breach,apeks,-1,20,L,51.857142857142854,26.0
2629,CCT North Europe Series 2,2022-12-07,havu,ence,-1,12,L,25.714285714285715,24.7
2630,CCT North Europe Series 2,2022-12-07,gamerlegion,ence,21,12,L,33.57142857142857,22.9
2631,ESEA Advanced Season 43 Europe,2022-12-07,spirit academy,monte,-1,22,L,48.857142857142854,0
2632,Thunderpick Bitcoin Series 2,2022-12-07,falcons,tricked,10,-1,L,44.166666666666664,28.4
2633,CCT Central Europe Series 4,2022-12-07,esuba,ecstatic,-1,18,L,44.166666666666664,28.4
2634,CCT North Europe Series 2,2022-12-07,ence,endpoint,12,-1,W,50.5,25.6
2635,ESEA Advanced Season 43 Europe,2022-12-06,apeks,eternal fire academy,20,-1,W,39.166666666666664,25.7
2636,ESL Challenger League Season 43 Europe,2022-12-06,9ine,ecstatic,-1,18,W,39.166666666666664,25.7
2637,CCT North Europe Series 2,2022-12-06,gamerlegion,eclot,21,-1,W,33.57142857142857,22.9
2638,ESEA Advanced Season 43 Europe,2022-12-06,9 pandas,jano,23,-1,W,51.857142857142854,26.0
2639,Thunderpick Bitcoin Series 2,2022-12-06,monte,nexus,22,-1,L,43.5,21.3
2640,CCT North Europe Series 2,2022-12-06,astralis,heet,25,-1,L,60.333333333333336,22.6
2641,ESEA Advanced Season 43 Europe,2022-12-06,monte,fourteen,22,-1,W,43.5,21.3
2642,CCT Central Europe Series 4,2022-12-06,eclot,apeks,-1,20,W,53.0,24.1
2643,ESL Challenger League Season 43 North America,2022-12-06,7am na,mibr,-1,27,L,53.0,24.1
2644,CCT North Europe Series 2,2022-12-05,ence,ago,12,-1,W,50.5,25.6
2645,CCT North Europe Series 2,2022-12-05,saw,endpoint,17,-1,L,70.0,26.1
2646,CCT Central Europe Series 4,2022-12-05,ecstatic,into the breach,18,-1,L,63.833333333333336,23.4
2647,CCT North Europe Series 2,2022-12-05,movistar riders,forze,-1,-1,L,57.833333333333336,25.7
2648,ESEA Autumn 2022 Cash Cup 5 North America,2022-12-05,complexity,strife,13,-1,W,41.0,24.6
2649,ESEA Autumn 2022 Cash Cup 5 North America,2022-12-05,complexity,nouns,13,-1,W,41.0,24.6
2650,Master League Portugal X Finals,2022-12-04,saw,ftw,17,-1,W,70.0,26.1
2651,Thunderpick Bitcoin Series 2,2022-12-04,monte,falcons,22,10,L,43.5,21.3
2652,CCT North Europe Series 2,2022-12-04,astralis,tricked,25,-1,W,60.333333333333336,22.6
2653,CCT Central Europe Series 4,2022-12-04,prospects,apeks,-1,20,L,60.333333333333336,22.6
2654,Energive Cup 2022,2022-12-04,ecstatic,masonic,18,-1,L,63.833333333333336,23.4
2655,CCT North Europe Series 2,2022-12-04,gamerlegion,9ine,21,-1,W,33.57142857142857,22.9
2656,CBCS Invitational 2022,2022-12-04,pain,00nation,14,-1,W,69.66666666666667,22.0
2657,Master League Portugal X Finals,2022-12-03,ftw,saw,-1,17,L,69.66666666666667,22.0
2658,Thunderpick Bitcoin Series 2,2022-12-03,falcons,permitta,10,-1,W,44.166666666666664,28.4
2659, ESL Turkey Championship Season 11,2022-12-03,eternal fire,the chosen few,8,-1,W,59.0,26.5
2660,Energive Cup 2022,2022-12-03,prosapia,ecstatic,-1,18,L,59.0,26.5
2661,Master League Portugal X Finals,2022-12-03,saw,gtz,17,-1,W,70.0,26.1
2662,Thunderpick Bitcoin Series 2,2022-12-03,ence academy,monte,-1,22,L,75.0,19.9
2663,CCT Central Europe Series 4,2022-12-03,young ninjas,ecstatic,-1,18,W,45.285714285714285,0
2664,ESL Challenger League Season 43 North America,2022-12-03,eg black,mibr,-1,27,W,45.285714285714285,0
2665,CBCS Invitational 2022,2022-12-03,pain,oddik,14,-1,W,69.66666666666667,22.0
2666, ESL Turkey Championship Season 11,2022-12-02,eternal fire,gothboiclique,8,-1,W,59.0,26.5
2667,Cyberpark Cup 2022,2022-12-02,ex-tag,9 pandas,-1,23,L,59.0,26.5
2668,ESL Challenger League Season 43 North America,2022-12-02,teamone,mibr,-1,27,W,59.0,26.5
2669,ESL Challenger League Season 43 North America,2022-12-01,strife,mibr,-1,27,L,75.0,23.3
2670,ESL Challenger League Season 43 Europe,2022-11-30,spirit,heet,3,-1,W,74.16666666666667,21.3
2671,ESL Challenger League Season 43 Europe,2022-11-30,saw,forze,17,-1,W,70.0,26.1
2672,CCT Central Europe Series 4 Closed Qualifier,2022-11-30,apeks,nexus,20,-1,W,39.166666666666664,25.7
2673,CCT North Europe Series 2,2022-11-30,eclot,ecstatic,-1,18,W,53.0,24.1
2674,ESL Challenger League Season 43 North America,2022-11-29,snakes den,mibr,-1,27,L,53.0,24.1
2675,ESL Challenger League Season 43 North America,2022-11-29,detonate,mibr,-1,27,L,53.0,24.1
2676,ESL Challenger League Season 43 Europe,2022-11-28,bluejays,movistar riders,-1,-1,W,53.0,24.1
2677,CCT Central Europe Series 4 Closed Qualifier,2022-11-28,astralis talent,apeks,-1,20,L,42.42857142857143,20.0
2678,CCT North Europe Series 2,2022-11-28,falcons,ecstatic,10,18,L,44.166666666666664,28.4
2679,CCT Central Europe Series 4 Closed Qualifier,2022-11-28,ldlc,apeks,-1,20,L,44.166666666666664,28.4
2680,ESEA Autumn 2022 Cash Cup 4 North America,2022-11-28,mibr,eg black,27,-1,W,64.66666666666667,23.5
2681,ESEA Autumn 2022 Cash Cup 4 North America,2022-11-28,atk,complexity,-1,13,L,64.66666666666667,23.5
2682,ESEA Autumn 2022 Cash Cup 4 North America,2022-11-28,complexity,eg black,13,-1,W,41.0,24.6
2683,ESEA Autumn 2022 Cash Cup 4 North America,2022-11-28,atk,mibr,-1,27,W,41.0,24.6
2684,OMEN WGR Retake Season 5,2022-11-27,saw,ftw,17,-1,L,70.0,26.1
2685,BLAST Premier Fall Final 2022,2022-11-27,heroic,faze,11,1,W,58.166666666666664,24.2
2686,1xBet FRAG Season 10,2022-11-27,monte,9 pandas,22,23,W,43.5,21.3
2687,1xBet FRAG Season 10,2022-11-27,hotu,9 pandas,-1,23,L,43.5,21.3
2688,ESEA Autumn 2022 Cash Cup 4 North America,2022-11-27,vendetta,mibr,-1,27,L,43.5,21.3
2689,ESEA Autumn 2022 Cash Cup 4 North America,2022-11-27,complexity,iron blood,13,-1,W,41.0,24.6
2690,BLAST Premier Fall Final 2022,2022-11-27,faze,ninjas in pyjamas,1,-1,W,55.714285714285715,26.6
2691,1xBet FRAG Season 10,2022-11-26,monte,hotu,22,-1,W,43.5,21.3
2692,OMEN WGR Retake Season 5,2022-11-26,ftw,saw,-1,17,L,43.5,21.3
2693,1xBet FRAG Season 10,2022-11-26,9 pandas,avangar,23,-1,W,51.857142857142854,26.0
2694,BLAST Premier Fall Final 2022,2022-11-26,liquid,heroic,-1,11,L,66.16666666666667,25.2
2695,CCT North Europe Series 2,2022-11-26,falcons,anonymo,10,-1,L,44.166666666666664,28.4
2696,OMEN WGR Retake Season 5,2022-11-26,gtz,saw,-1,17,L,44.166666666666664,28.4
2697,CCT North Europe Series 2,2022-11-26,esuba,ecstatic,-1,18,W,44.166666666666664,28.4
2698,ESL Challenger League Season 43 North America,2022-11-26,mibr,iron blood,27,-1,L,64.66666666666667,23.5
2699,BLAST Premier Fall Final 2022,2022-11-26,ninjas in pyjamas,natus vincere,-1,2,W,66.83333333333333,0
2700,ESL Masters Spain Season 12,2022-11-25,saw,movistar riders,17,-1,W,70.0,26.1
2701,BLAST Premier Fall Final 2022,2022-11-25,heroic,g2,11,5,W,58.166666666666664,24.2
2702,CCT North Europe Series 2,2022-11-25,ex-finest,ecstatic,-1,18,W,58.166666666666664,24.2
2703,BLAST Premier Fall Final 2022,2022-11-24,natus vincere,liquid,2,-1,L,67.66666666666667,23.4
2704,1xBet FRAG Season 10,2022-11-24,spirit academy,9 pandas,-1,23,L,48.857142857142854,0
2705,BLAST Premier Fall Final 2022,2022-11-24,fluxo,g2,-1,5,L,55.0,24.5
2706,1xBet FRAG Season 10,2022-11-24,monte,avangar,22,-1,W,43.5,21.3
2707,BLAST Premier Fall Final 2022,2022-11-24,faze,heroic,1,11,W,55.714285714285715,26.6
2708,CCT North Europe Series 2,2022-11-24,falcons,eclot,10,-1,L,44.166666666666664,28.4
2709,BLAST Premier Fall Final 2022,2022-11-23,liquid,g2,-1,5,W,66.16666666666667,25.2
2710,BLAST Premier Fall Final 2022,2022-11-23,natus vincere,fluxo,2,-1,W,67.66666666666667,23.4
2711,1xBet FRAG Season 10,2022-11-23,9 pandas,websterz,23,-1,W,51.857142857142854,26.0
2712,BLAST Premier Fall Final 2022,2022-11-23,heroic,ninjas in pyjamas,11,-1,W,58.166666666666664,24.2
2713,BLAST Premier Fall Final 2022,2022-11-23,faze,og,1,-1,W,55.714285714285715,26.6
2714,ESL Challenger League Season 43 Europe,2022-11-22,9ine,falcons,-1,10,W,55.714285714285715,26.6
2715,1xBet FRAG Season 10,2022-11-22,monte,9 pandas,22,23,W,43.5,21.3
2716,Elisa Masters Espoo 2022,2022-11-20,big,fnatic,-1,-1,L,43.0,24.7
2717,Elisa Masters Espoo 2022,2022-11-19,fnatic,astralis,-1,25,W,51.714285714285715,24.6
2718,Elisa Masters Espoo 2022,2022-11-19,sprout,big,-1,-1,L,51.714285714285715,24.6
2719,European Development Championship 6,2022-11-19,copenhagen flames,falcons,-1,10,W,51.714285714285715,24.6
2720,Elisa Masters Espoo 2022,2022-11-18,ence,astralis,12,25,L,50.5,25.6
2721,Elisa Masters Espoo 2022,2022-11-18,big,500,-1,-1,W,43.0,24.7
2722,Elisa Masters Espoo 2022,2022-11-17,saw,500,17,-1,L,70.0,26.1
2723,Elisa Masters Espoo 2022,2022-11-17,astralis,complexity,25,13,W,60.333333333333336,22.6
2724,Elisa Masters Espoo 2022,2022-11-17,fnatic,saw,-1,17,W,51.714285714285715,24.6
2725,Elisa Masters Espoo 2022,2022-11-17,astralis,500,25,-1,L,60.333333333333336,22.6
2726,Elisa Masters Espoo 2022,2022-11-17,fnatic,astralis,-1,25,W,51.714285714285715,24.6
2727,Elisa Masters Espoo 2022,2022-11-17,bad news eagles,complexity,-1,13,L,51.714285714285715,24.6
2728,Elisa Masters Espoo 2022,2022-11-17,complexity,saw,13,17,L,41.0,24.6
2729,Elisa Masters Espoo 2022,2022-11-17,bad news eagles,astralis,-1,25,L,41.0,24.6
2730,Elisa Masters Espoo 2022,2022-11-17,fnatic,complexity,-1,13,L,51.714285714285715,24.6
2731,Elisa Masters Espoo 2022,2022-11-17,astralis,saw,25,17,W,60.333333333333336,22.6
2732,Elisa Masters Espoo 2022,2022-11-17,complexity,500,13,-1,L,41.0,24.6
2733,Elisa Masters Espoo 2022,2022-11-17,bad news eagles,saw,-1,17,W,41.0,24.6
2734,Elisa Masters Espoo 2022,2022-11-16,sprout,gamerlegion,-1,21,W,41.0,24.6
2735,Elisa Masters Espoo 2022,2022-11-16,ence,big,12,-1,W,50.5,25.6
2736,European Development Championship 6,2022-11-16,falcons,ldlc,10,-1,W,44.166666666666664,28.4
2737,Elisa Masters Espoo 2022,2022-11-16,ence,heet,12,-1,W,50.5,25.6
2738,CCT Central Europe Series 3,2022-11-16,eternal fire,honoris,8,-1,L,59.0,26.5
2739,Elisa Masters Espoo 2022,2022-11-16,ence,sprout,12,-1,L,50.5,25.6
2740,Elisa Masters Espoo 2022,2022-11-16,big,gamerlegion,-1,21,L,43.0,24.7
2741,Elisa Masters Espoo 2022,2022-11-16,big,havu,-1,-1,W,43.0,24.7
2742,Elisa Masters Espoo 2022,2022-11-16,gamerlegion,heet,21,-1,L,33.57142857142857,22.9
2743,Elisa Masters Espoo 2022,2022-11-16,big,sprout,-1,-1,W,43.0,24.7
2744,Elisa Masters Espoo 2022,2022-11-16,ence,gamerlegion,12,21,W,50.5,25.6
2745,Elisa Masters Espoo 2022,2022-11-16,ence,havu,12,-1,W,50.5,25.6
2746,Elisa Masters Espoo 2022,2022-11-16,big,heet,-1,-1,W,43.0,24.7
2747,Elisa Masters Espoo 2022,2022-11-16,gamerlegion,havu,21,-1,W,33.57142857142857,22.9
2748,ESL Challenger League Season 43 Europe,2022-11-15,movistar riders,sinners,-1,-1,W,57.833333333333336,25.7
2749,IEM Rio Major 2022,2022-11-13,outsiders,heroic,-1,11,W,57.833333333333336,25.7
2750,IEM Rio Major 2022,2022-11-13,heroic,furia,11,15,W,58.166666666666664,24.2
2751,IEM Rio Major 2022,2022-11-12,outsiders,mouz,-1,6,W,58.166666666666664,24.2
2752,IEM Rio Major 2022,2022-11-12,furia,natus vincere,15,2,W,60.166666666666664,27.1
2753,IEM Rio Major 2022,2022-11-11,spirit,heroic,3,11,L,74.16666666666667,21.3
2754,IEM Rio Major 2022,2022-11-11,mouz,cloud9,6,7,W,57.5,20.5
2755,ESL Challenger League Season 43 Europe,2022-11-09,eternal fire,saw,8,17,L,59.0,26.5
2756,IEM Rio Major 2022,2022-11-09,liquid,spirit,-1,3,L,66.16666666666667,25.2
2757,IEM Rio Major 2022,2022-11-08,big,natus vincere,-1,2,L,43.0,24.7
2758,IEM Rio Major 2022,2022-11-08,mouz,ence,6,12,W,57.5,20.5
2759,IEM Rio Major 2022,2022-11-08,heroic,liquid,11,-1,W,58.166666666666664,24.2
2760,IEM Rio Major 2022,2022-11-08,spirit,sprout,3,-1,W,74.16666666666667,21.3
2761,IEM Rio Major 2022,2022-11-07,ence,vitality,12,4,W,50.5,25.6
2762,IEM Rio Major 2022,2022-11-07,big,fnatic,-1,-1,L,43.0,24.7
2763,IEM Rio Major 2022,2022-11-07,mouz,outsiders,6,-1,L,57.5,20.5
2764,IEM Rio Major 2022,2022-11-07,natus vincere,bad news eagles,2,-1,W,67.66666666666667,23.4
2765,IEM Rio Major 2022,2022-11-06,furia,big,15,-1,W,60.166666666666664,27.1
2766,IEM Rio Major 2022,2022-11-06,faze,bad news eagles,1,-1,L,55.714285714285715,26.6
2767,IEM Rio Major 2022,2022-11-06,heroic,cloud9,11,7,L,58.166666666666664,24.2
